comentario,Valor,nombreAspecto
en la ubicacion y tamaño delos campus.   la metodologia de enseñanza de algunos profesores  la falta de seguridad(antivirus) en las pc de los laboratorios,Negativo,Experiencia Académica
en talleres bien equipadas para realizar pruebas experimentales que se acerquen más a la realidad,Negativo,Experiencia Académica
mejorar herramientas de trabajo para los laboratorios experimentales,Negativo,Experiencia Académica
falta investigación,Negativo,Experiencia Académica
la curricula.  la infraestructura  y descuento en la spensiones,Negativo,Experiencia Académica
"la exigencia es minima,siento que a los profesores les da igual si cumples o no,no castigando(en el buen sentido de la palabra) la actitud del alumno.  aparte siento que la universidad no le importamos y que más importancia le dan a la sede de c3",Negativo,Experiencia Académica
"en la toma de decisiones, por ejemplo con respecto al logo se siente la molestia de parte de los alumnos, el logo anterior representaba el origen de nuestra universidad, por lo que pienso que hemos perdido esa identidad que teniamos. por otro lado, upn deberia mejorar con respecto a sus ambientes algunos laboratorios son muy pequeños y a veces en las computadoras no funcionan correctamente los programas que se requieren para desarrollar la clase.",Negativo,Experiencia Académica
"la plana docente, muy bien preparada y apta para brindarnos amplios conocimientos desde fu especialidad.",Positivo,Experiencia Académica
"falta un monton de laboratorios, minimo 15  para la carrera de ing. industrial",Negativo,Experiencia Académica
pues  hasta ahora estoy safistecha con la universidad,Positivo,Percepción General
"que tienen una enseñanza de buena calidad, un ambiente bastante social y una buena infraestructura",Positivo,Percepción General
falta de investigacion para el desarrollo del pais,Negativo,Experiencia Académica
"el campus de san isidro es muy muerto, necesita mas vida creo que eso influye en las ganas de estudiar que nos pueden dar si el campus fuera mas acogedor.",Negativo,Percepción General
"en los laboratorios, seria bueno que cada año o año y medio cambien la infraestructura de los laboratorios de computo, ya que como mi carrera es orientada a la ingenieria esto es necesario para nuestro desarrollo. después seria bueno que agreguen mas horas de laboratorio.",Negativo,Experiencia Académica
"mas facilidades de pago y mas equipamiento en los laboratorios de electronica, robotica etc",Negativo,Experiencia Académica
"puede mejorar en los horarios, es decir abriendo mas cursos en diferentes dias para que el alumno no se cargue de varios cursos en un solo dia y no se sienta muy presionado a la hora de rendir sus evaluaciones.",Negativo,Experiencia Académica
que bajen las pensiones e implementen mas la biblioteca de upn - san isidro,Negativo,Experiencia Académica
"en la malla curricular, ya que hay cursos que no están muy relacionados a mi carrera.",Negativo,Experiencia Académica
"podrian adquirir mas equipamiento en laboratorio. propondria una enseñanza mas practica de algunos cursos por ejemplo procesos de manufactura, ingenieria electrica, termodinamica, resistencia de materiales por ejemplo. esos cursos son mayormente teoricos, los alumnos no tienen acceso a maquinas. otra cosa que sugeriria es hacer constante evaluacion academica de los docentes. algunos van a dictar una clase muy simple a nivel secundario. por otro lado, la universidad deberia hacer contactos con empresas para hacer visitas programadas por curso para contrastar la teoria con la realidad. o posibilitar a los mejores estudiantes a tener acceso a practicas laborales.",Negativo,Experiencia Académica
"su malla curricular,",Positivo,Experiencia Académica
su prestigio y la exigencia academica,Positivo,Experiencia Académica
"infraestructura, laboratorios modernos, utensilios para laboratorios(en muchos casos no hay lo que se necesita para desarrollar los laboratorios), promover el deporte.",Negativo,Experiencia Académica
los laboratorios de electronica y electricidad debe ser mejor equipadas y ambiente mas amplio  ademas de las pc.,Negativo,Experiencia Académica
"bueno que aya mas disponibilidad de laboratorio en horas libres, ya que si no hay un docente uno no puede quedarse y eso perjudica en algunos casos.",Negativo,Experiencia Académica
"su infraestructura, traer más equipo para la carrera de comunicaciones. que no cambien tanto las mallas.",Negativo,Experiencia Académica
"las computadoras la mayoria no estan completamente implementadas, estan a media.!!! si un laboratorio es capacidad de 20, ponen 22 alumnos y eso para nosotros es una burla xq pagamos para aprender y estar comodos.",Negativo,Experiencia Académica
"en infraestructura, calidad de docentes.",Negativo,Experiencia Académica
"calidad de docentes, laboratorios",Negativo,Experiencia Académica
deben controlar bien a los profesores que solo van a hablar de su vida y no de sus clases.,Negativo,Experiencia Académica
"en su calidad de educacion, me parece de muy bajo nivel",Negativo,Experiencia Académica
upn puede mejorar en la implementar  la biblioteca basándose en un lugar mas apropiado como para estudiar .,Negativo,Experiencia Académica
"servicios de biblioteca, algunos docentes no hacen clase.",Negativo,Experiencia Académica
que tiene los mejores docentes.,Positivo,Experiencia Académica
en que le aula virtual mejore actualizando de manera rápida los archivos,Negativo,Experiencia Académica
salas de descanso,Positivo,Percepción General
"no en mucho que digamos, pero lo que hace falta es tal vez darle un poco mas de importancia al deporte(futbol) e implementar unos articulos deportivos de futbol, como pelotas, etc.  y hacer el seguimiento a algunos profesores que cuelguen el material de estudio en el aula virtual, para tener una mejor vision de lo que se hace en clase.",Negativo,Experiencia Académica
en el mobiliario de los salones del sotano,Negativo,Experiencia Académica
"nosotros los alumnos para poder nosotros sentirnos identificados con nuestra universidad, esta también debe brindarnos su apoyo, puesto que somo la mejor universidad de norte de pais y no contamos con una buena biblioteca para los estudiantes de derecho, por lo que  los alumnos tiene que visitar otras universidades para realizar su trabajo y esta carrera no puede acreditarse porque no cuenta con un auditorio que se exige para la acreditacion, entre otras cosas. en la carrera de ciencias de la comunicacion no se cuenta con un medio de comunicacion como una radio, un canal de television, teatro, etc, como lo tiene la upao y por ultimo la ucv , los alumnos tiene que ver la forma de soltarse. en la carrera de ing. civil para el colmo los alumnos tienen una laboratorio donde no cuentas con materiales necesarios, como por ejemplo un vernier o el colmo que fue que los alumnos no tiene ni siquiera un balde y observe con varios compañeros que los alumnos tienen sus materiales en una olla arrocera. es el colmo. saludos desde c2",Negativo,Experiencia Académica
en subir puntualmente las clases al aula virtual.,Negativo,Experiencia Académica
en que los profesores deben colgar puntualmente las clases en el aula virtual,Negativo,Experiencia Académica
en el transporte en el campus de san isidro colocar otro bus ya que en horas punta los buses se llenan y algunas veces necesitamos llegar rapido a nuestros hogares.  mas libros para la carrera de ingenieria civil y construyan un laboratorio bien equipado para mecani de fluidos.,Negativo,Experiencia Académica
"en la contratacion de profesores, en anteriores ciclos. o en material bibliografico para la carrera. tambien en la falta de laboratorios para hacer las practicas correspondientes",Negativo,Experiencia Académica
en la infraestructura principalmente mayor implementacion de la biblioteca sobre todo en el tema de ingenieria y materiales de laboratorio,Negativo,Experiencia Académica
"solo tiene libros de cursos básicos, y nosotros necesitamos libros de carrera, y la universidad no cuenta con algunos de estos.",Negativo,Experiencia Académica
"no llega a cumplir todas mis expectativas en cuanto a la exigencia de todos los profesores, además el campus en c2 carece de sillas para el descanso de los alumnos, son algo incomodos los momentos de break. por otra parte, la universidad no ofrece reconocimientos de los alumnos destacados.",Negativo,Experiencia Académica
la buena enseñanza que se nos brinda y la atención de servicio.,Positivo,Experiencia Académica
"en una evaluacion mas exhaustiva a los profesores, donde en sus encuestas se incluyan opiniones acerca del profesores, para dar una mayor alcance con respecto al curso que se está dictando.",Negativo,Experiencia Académica
en infraestructura.  en mejorar  y ampliar la universidad  en calidad universitaria reforzar la comunicacion con los alumnos,Negativo,Experiencia Académica
"en laboratorios , internet ascensor",Negativo,Experiencia Académica
"la enseñanza, los intercambios, las conferencias, etc.",Positivo,Experiencia Académica
en laboratirios,Negativo,Experiencia Académica
tecnologia en los laboratorios,Positivo,Experiencia Académica
la calidad de profesores y los métodos que utilizan para desarrollar sus clases.,Positivo,Experiencia Académica
aunque ya pase el curso de fisica1 y 2  los equipos de los laboratorios de electricidad esta tan pésimo que hay que tener suerte al momento de escoger un multitester por que de los 20 que hay dos funcionan ; y hay que estar probando y probando.,Negativo,Experiencia Académica
"la malla curricular que tiene me parece completa, existen profesores bastante capacitados",Positivo,Experiencia Académica
uno de los puntos mas importantes es la infraestructura y ampliar la biblioteca,Negativo,Experiencia Académica
la cantidad de libros en biblioteca no es suficiente asi como las computadoras y salas.,Negativo,Experiencia Académica
"la universidad, tiene docentes con maestria y experiencia en las mejores empresas del pais, por ello, el conocimiento que nos brindan es muy  util; pero, como institucion puedo decir que deberia implementar sus laboratorios con un poco más de tecnologia y contar con equipos y/o herramientas adicionales que en la práctica es fundamental conocer.",Positivo,Experiencia Académica
el servicio de los laboratorios deja que desaear el matenimiento de las mismas,Negativo,Experiencia Académica
"deberian aumentar las horas de clase en algunos cursos ya que muchas veces no alcanza el tiempo para culminar las clases; además, en cursos de numeros deberian existir clases de laboratorio ya que en la actualidad la tecnologia es lo que manda.",Negativo,Experiencia Académica
laboratorio de sistemas: computadoras con virus.,Negativo,Experiencia Académica
"mejor implementacion de laboratorios, ampliar la cobertura y disponibilidad wi-fi",Negativo,Experiencia Académica
deberia bajar su mensualidad o poner mas plazos para poder pagarla,Negativo,Percepción General
"le recomendaria que, la upn es una de las mejores universidades de c2 en administracion y negocios, que tiene muy buenos profesores que utilizan todos los mecanismos de aprendizaje y que deseen exito al alumno en su desarrollo como profesional.",Positivo,Experiencia Académica
en su infraestructura y tecnologia .,Negativo,Experiencia Académica
"infraestructura, mejorar docentes",Negativo,Experiencia Académica
su buena enseñanza academica,Positivo,Experiencia Académica
"en la eleccion de sus docentes, dimension de su infraestructura y mejorar su equipamiento",Negativo,Experiencia Académica
infraestructura y laboratorios adecuados.,Negativo,Experiencia Académica
"infraestructura, debido a la cantidad de alumnos debería ser un poco más grande en lo que respecta a espacio.  otro punto sería implementar de mejor manera los laboratorio de química/física y además conseguir materiales como algunas maquinas que sirvan de respaldo para las clases, para que no sean totalmente teóricas. esto es en el caso de las carreras de ingeniería.",Negativo,Experiencia Académica
"haciendo un constante seguimiento  alos profesores, para que cumplan con sus silabos, asimismo abrir capacitaciones en otros cursos ...",Negativo,Experiencia Académica
"los profesores son excelente, sus conocimientos impresionan. pero creo firmemente en que un profesor debe inspirar y enseñar!. lo primero no sucede con algunos. mejoren el filtro de eleccion a los docentes. no solo se basen en conocimientos si no también en actitudes!",Negativo,Experiencia Académica
no todos los docentes son exigentes. como los evaluan?,Negativo,Experiencia Académica
que tiene buena malla curricular y la mayoría de sus docentes son de excelente desempeño.,Positivo,Experiencia Académica
"la biblioteca es muy pequeña. si la universidad ha optado por crear nuevas carreras y por consiguiente el alumnado ha aumentado, creo que seria conveniente construir más pisos a la universidad y más pisos a la biblioteca.",Negativo,Experiencia Académica
"mejorar laboratorios, hacer mas didácticos y grupal los examenes",Negativo,Experiencia Académica
en contar con docentes wa altamente capacitados,Positivo,Experiencia Académica
"los temas deben ser mas orientados a la practica, ya que todos los participantes de working están trabajando en empresas",Negativo,Experiencia Académica
"la vigencia de su currucula, el profesionalismo de sus docentes, la ingraestructura muy moderna. l acalidad en su atencion.",Positivo,Experiencia Académica
"el precio de la matricula no deberia subir como sucedio con nosotros, al inicio pagabamos s/. 50, ahora es s/200.",Negativo,Percepción General
"su enseñanza es muy buena, y considero que esta universidad me forma para la vida laboral que me espera. me da oportunidades laborales.",Positivo,Experiencia Académica
"mejorar la calidad educativa, empezando principalmente en sus docentes y el nivel de aprendizaje de sus alumnos incentivándolos con una enseñanza de calidad en lugar de dejar tareas y más tareas cuando una persona puede o no tener tiempo.",Negativo,Experiencia Académica
"seguir apostando por la acreditacion de las carreras, sobre todo para contabilidad.",Positivo,Percepción General
"la calidad de enseñanza que tiene, los profesores están bien calificados.",Positivo,Experiencia Académica
yo creo que deben mejorar y ampliar un poco más la biblioteca debido a que no siempre se encuentra lo que uno busca.,Negativo,Experiencia Académica
"en san isidro deberia la biblioteca deberia ser mas amplia, que los talleres de teatro y danza tambien se encuentre en ese local, o aunciar que ya estan disponibles almenos",Negativo,Experiencia Académica
"cambio de malla curricular, retirando cursos importantes y considerar  cursos que son base para otros en el mismo semestre académico.",Negativo,Experiencia Académica
"buenos docentes, buena infraestructura, carreras con un plan de estudios actualizado",Positivo,Experiencia Académica
"infraestructura, plana docente, enseñanza, .......",Positivo,Experiencia Académica
interaccion y oir al alumno,Negativo,Experiencia Académica
exigencia académica y ambientes adecuados,Positivo,Experiencia Académica
"algunos profesores enseñan cursos que no son de su especialidad, y por ende hace una clase aburrida, donde solo lee las diapositivas y no responde ante las dudas del alumno.",Negativo,Experiencia Académica
"muchas personas estan en contra de el nuevo logo, lo que mas importa es la buena educacion que nos brindan con los buenos profesores. pienso que el internet debe tener las larga distancia ya que en los salones tambien necesitamos la ayuda de internet",Positivo,Experiencia Académica
en la biblioteca sede san isidro es muy pequeña y las pc y salas siempre paran muy llenas seria mejor que la amplien.  la mensualidad es la mas cara  de todos las universidades en c2 por lo menos que sea un poco menos en de 480 que sea 450 y si se puede un poco menos .  mejorar y ampliar mas su infraestructura ya la la sede san  isidro es  muy pequeña diria yo.,Negativo,Experiencia Académica
con respecto a la carrera de ing. industrial seria bueno  que la universidad cuente con espacios para poder hacer cosas practicas referentes a dicha carrera.,Negativo,Experiencia Académica
implementar la biblioteca del campus de san isidro.,Negativo,Experiencia Académica
"la infraestructura, poner mas buses, ampliar la biblioteca, que las salas de estudios tengan dos computadoras, poner wifi en todo el campus",Negativo,Experiencia Académica
la curricula y sus convenios internacionales,Positivo,Experiencia Académica
"deberia tener mas libros en la biblioteca, los precios de los productos en el cafetin son muy caros",Negativo,Experiencia Académica
en la infraestructura y en el equipamiento de laboratorios.,Negativo,Experiencia Académica
en algunos profesores y cursos,Negativo,Experiencia Académica
en mejorar y estar atentos en la atencion de la tecnologia y programacion pues algunos de estos programas no son propiamente originales.,Negativo,Experiencia Académica
"en la poca facilidad y comodidad de horarios, debido a lo pequeña (de infraestructura) que es la universidad.",Negativo,Experiencia Académica
"en su logo, creo que el cambio no fue tan bueno como la universidad esperaba. además de eso la cede en c2 debe tener más espacios, la biblioteca es muy pequeña en realidad, no hay muchas salas de trabajo los cuales dificultan a los universitarios, puesto que tenemos que separar salas con mucha anticipacion, asimismo actualmente tenemos problemas con los nuevos portales, que han sido cambiados por el logo, entonces se deberia dar asesoracion.",Negativo,Experiencia Académica
implementar los labarotarios de upn san isidro. esta equipado pero puede estar mejor.,Negativo,Experiencia Académica
servicio de biblioteca y de cafetin en referente a infraestructura e informacion de herramientas disponibles,Negativo,Experiencia Académica
que sin duda ingrese a la upn porque tiene a los mejores profesores en el campo profesional y tiene un bolsa de trabajo que va creciendo con el pasar del tiempo,Positivo,Experiencia Académica
"implementacion de libros en la biblioteca, hacer más salas de estudio e implementar otro autobus para estudiantes del campus de san isidro.",Negativo,Experiencia Académica
en ampliar su infraestructura y implementar laboratorios en la sede c2 para ingenieria.,Negativo,Experiencia Académica
en implementar una sala de descanso para los alumnos,Positivo,Percepción General
que es una universidad muy bien organizada y que ofrece todo para que un alumno sea un excelente profesional y sea un lider en el campo que se pueda desarrolar,Positivo,Percepción General
"servicio, tecnologia y mayor exigencia",Negativo,Experiencia Académica
"su servicio wifi, clases más prácticas.",Negativo,Experiencia Académica
"en ampliar sus laboratorios, y que los profesores insiten mas a trabajos de campo. eso nos ayudara bastante en un futuro para nuestra carrera.",Negativo,Experiencia Académica
que hagan mas amplio la biblioteca como la de la av. ejercito,Negativo,Experiencia Académica
más apoyo en proyectos de investigacion y proyeccion social,Negativo,Experiencia Académica
"la metodologia de estudios de los profesores deberia ser la misma, con respecto a presentacion de proyecto, modos de calificacion. colocar a tiempo las calificaciones y/o entrega de resultados.",Negativo,Experiencia Académica
"en el mejoramiento de profesores: que estén bien capacitados y que se desempeñen como verdaderos profesores en los salones.  en el proceso de matricula; hay alumnos que son de otras provincias y solo tienen que venir a matricularse.  ampliacion de la biblioteca como también de wifi, para asi poder utilizar en toda la universidad y no solo en la biblioteca.",Negativo,Experiencia Académica
"la nueva upn san isidro tiene una infraestructura no moderna y pequeña, además su biblioteca no contiene los libros más elementales.",Negativo,Experiencia Académica
"- en la cantidad de horas que este disponible por curso, ya que con unas 3 horas por curso uno no se abasta para aprender.  - las aulas son muy chicas, tienen que cambiar la infraestructura o colocar menos alumnos en cada aula, ya que 50 alumnos por aula parece un corral que un aula.  - en el internet; en toda la universidad no se puede conectar al internet (la señal no llega) y esto es perjudicial para uno, puesto que tenemos que hacer un trabajo o investigacion y no se puede lograr hacer el trabajo. también, la velocidad del internet es muy lenta si es que nos conectamos.  - en la calidad de los profesores, veo que la universidad solo se preocupa que un profesor ocupe un aula, a que ese profesor enseñe de la mejor manera al alumno. deberian preocuparse netamente en esto, porque es muy importante para una universidad si quieren ser diferentes. y no preocuparse en la nota de una ""encuesta"", eso no dice nada de la realidad que hay a fondo, observen no vean solamente.  - en el préstamo de un libro de la biblioteca, me parece muy ingenuo e inutil que se preste algo muy necesario e indispensable como el libro, a partir de las 3 de la tarde. si un alumno estudia toda la mañana tiene que esperar hasta las 3 de la tarde para que le empresten el libro, me parece ilogico. deberia ser un préstamo inmediato, ya que el que lo necesita es el alumno, y no la universidad.",Negativo,Experiencia Académica
"que no sigan cambiando la malla, porque nos atrasamos.  que no sigan subiendo la pension.  que realicen más eventos donde todos podamos participar.",Negativo,Experiencia Académica
la verdad todo esta perfecto es completo  buenos servicios a los alumnos tenemos todas las facilidades por parte de la upn,Positivo,Percepción General
"infraestructura, maquinaria, modulos mejor equipados, red de internet, profesores con técnica y método de enseñanza ya que algunos profesores saben el tema son magister o doctores pero no saben como llegar al alumno y como transmitirles sus conocimientos.",Negativo,Experiencia Académica
"la gran experiencia de los docentes que nos brindas sus conocimientos para ser mejores profesionales, una ayuda constante de parte de la universidad.",Positivo,Experiencia Académica
"las facilidades para estudiar, si es que trabajara, excelentes profesores y un alto grado de exigencia.",Positivo,Experiencia Académica
el nivel de enseñanza y la exigencia,Positivo,Experiencia Académica
"su calidad de enseñanza, y su malla curricular.",Positivo,Experiencia Académica
"en la infraestructura, la malla curricular, algunos profesores.",Negativo,Experiencia Académica
"que en el pabellon b cuando hayan más de 30 alumnos se separen , por lo q hay aulas pequeñas.",Negativo,Experiencia Académica
costos elevados,Negativo,Percepción General
"la enseñanza es muy buena, los profesores son altamente capacitados y responsables.",Positivo,Experiencia Académica
"tiene buenos docentes ,  carreras acreditadas   , bolsa de trabajo , convenios nacionales e internacionales",Positivo,Experiencia Académica
la calidad de docentes con la que se cuenta. la curricula permite nuestro desarrollo en todas las areas de la carrera.,Positivo,Experiencia Académica
"todo está bien, los servicios, los apoyos académicos. solo que debe tener más cuidado en escoger a sus profesores.",Positivo,Percepción General
"la biblioteca, las salas de trabajo y la buena enseñanza",Positivo,Experiencia Académica
ser más exigente con el rendimiento de los alumnos.,Negativo,Experiencia Académica
no hay muchos libros en la biblioteca,Negativo,Experiencia Académica
"el nivel de los profesores asignados,algunos no dominan los cursos.no asignas docentes no especializados en el curso.las pocas horas asignadas al desarrollo de las clases",Negativo,Experiencia Académica
"para ser más esecificos, no concientizan a sus docentes en el tema del sistema el cual manejamos (prof. have)tendrian que uniformizar metodologia",Negativo,Experiencia Académica
"mejorar en su infraestructura,en la biblioteca debe haber mas salas de estudio y pc,descuentos a los que participan en talleres de danza,deporte,teatro,etc.",Negativo,Experiencia Académica
"aumentar actividades como bailes, eventos por fechas especiales, hacer animaciones y que halla mas pcs en la biblioteca",Negativo,Experiencia Académica
"tiene muy buenos docentes, una biblioteca muy completa, la exigencia academica es muy alta, hay carreras acreditadas y es la mas prestigiosa del norte del pais.",Positivo,Experiencia Académica
mas dinámica en sus cursos,Negativo,Experiencia Académica
en implementar un campus grande y ùnico.,Negativo,Percepción General
"recomendaria que las barandas de los pisos superiores de la sede c2 sean mas altos, están muy bajos, para evitar cualquier incidente desagradable, mas vale prevenir que lamentar.",Positivo,Percepción General
en la parte académica  y cambiar al director de escuela .,Negativo,Experiencia Académica
implementacion de los  cambios de equipos de computo  y  hacer conferencias de cursos de capacitacion relacionados a cada carrera.,Negativo,Experiencia Académica
"que tiene una vision empresarial mucho más allá de lo comunmente realizado en las empresas, donde los docentes aportan mucho para la formacion etico-profesional del alumno.  tiene algunas desventajas sobre la vida social que escapa a la universidad, pero que tenga en cuenta que no debe de desenfocarse, tampoco dejarse influir.",Positivo,Experiencia Académica
"se  organiza mal de cara a los tramites de matricula,no se abren suficientes aulas respecto a asignaturas q requieren demanda, la malla curricular esta sometida a constantes cambios no presenta estabilidad y dichos cambios luego son convalidados de manera poco logica, algunos docentes no muestran un nivel apto para la enseñanza.",Negativo,Experiencia Académica
el nivel de exigencia y programacion en los cursos. la calidad de enseñanza!,Positivo,Experiencia Académica
que tenga una mejor calidad en el servicio del las pc y wifi.,Negativo,Experiencia Académica
"campus muy pequeño, mejorar sus cursos, sus colores de la infraestructura no van(verde claro y beach ?), su logo no me gusta, más me gusta el logo de la upc o de la pacifico(son creativos), su plana docente algunos son ociosos solo explican les da igual el entendimiento y la apreciacion del estudiante, son profes que saben, pero deben ser mas compresibles con los estudiantes. la division de las notas esta mal, por eso hay muchos q ni saben y aprueban y asi no es. deberia ser asi 30% parcial, 30% final y 40% trabajos y/o practicas de clase. su examen de admision debe ser mas selectivo, cualquier tonto ingresa a la upn y eso da lastima porque la upn más se fija en llenarse de dinero, no le pone una vaya al estudiante que quiera que se esfuerce por querer ingresar a otra universidad. por ello, no es una universidad que trascienda en el ranking de las mejores unviersidades del peru.",Negativo,Experiencia Académica
la calidad de sus profesores y la exigencia,Positivo,Experiencia Académica
los buenos profesores  el modelo de enseñanza - aprendizaje  los buenoscoontactos que se pueden hacer dentro de la universidad,Positivo,Experiencia Académica
"es una universidad de prestigio, en este ultimo año a logrado acreditar la carrera de ing. industrial e ing. de sistemas a través de abet, tiene una plana docente excelente, a ido mejorando su calidad en los ultimos años, y ahora están siguiendo los pasos para acreditar la carrera de contabilidad.",Positivo,Experiencia Académica
"tecnologia y en que las clases se más practicas y aplicativas. que gano estar sentado y escuchar lo que puedo leer, si no sé como es la forma aplicativa en la vida real.",Negativo,Experiencia Académica
nuestra malla curricular fue cambiada muchas veces,Negativo,Experiencia Académica
"que la enseñanza es muy buena,y los profesores estan preparados para la enseñanza en las diferentes carreras",Positivo,Experiencia Académica
"educacion de nivel internacional, con docentes completamente preparados y altamente calificados.",Positivo,Experiencia Académica
"en el aspecto administrativo, el mejor trato.  ademas el implemento de las salas de trabajo en las bibliotecas.",Negativo,Experiencia Académica
"la metodologia de enseñanza, los profesores altamente calificados, la infraestructura adecuada y los convenios y facilidades que brinda como por ejemplo la red laureate, el dpto. de oportunidades laborales, etc.",Positivo,Experiencia Académica
"en que ponen decepcionantes docentes para cursos de carrera me refiero a ing. civil, es más ni siquiera tenemos jefe de carrera. me preocupo, por la calidad de enseñanza que nos darán en los ciclos siguientes y tienen que hacer algo pronto.",Negativo,Experiencia Académica
el nivel de exigencia.,Positivo,Percepción General
"la calidad de educacion, infraestructura",Positivo,Experiencia Académica
"que brinda calidad educativa con docentes de primer nivel, que laboran en empresas de prestigio y que cuentan con la experiencia necesaria para compartir con los estudiantes.",Positivo,Experiencia Académica
"cuando se quiere utilizar los servicios higiénicos, todos los limpian ala misma vez, hay profesores que no soy docentes y están reseñando o dictando clase, por lo consiguiente no tiene buen trato para con los alumnos.",Negativo,Experiencia Académica
falta implementar laboratorios y nivel académico.,Negativo,Experiencia Académica
la calidad de enseñanza y la exigencia por parte de los docentes.,Positivo,Experiencia Académica
"prestigio, enseñanza académica, liderazgo",Positivo,Experiencia Académica
que motive a la investigacion y forme grupos de investigacion en el area de sistemas,Positivo,Experiencia Académica
"que no suban la pencion hasta que brinden o no tenga un servicio de calidad, prestar mas atencion a la opinion de los estudiantes.",Negativo,Percepción General
facilidad de horarios para poder trabajar medio tiempo,Positivo,Experiencia Académica
"su exigencia académica en primer lugar, su prestigio, la calidad de docentes, infraestructura..el metodo de enseñansa",Positivo,Experiencia Académica
"mejorar el cafetin, la comida digamos no es muy nutritiva, casi nunca hay variedad(solo pollo o hot dog ).  mejorar la cobertura inalambrica de biblioteca.",Positivo,Experiencia Académica
te ofrecen carreras interesantes con buena plana docente,Positivo,Experiencia Académica
en los cursos que son de carrera,Negativo,Experiencia Académica
ha faltado mayor interés en la especialidad de audiovisuales de la carrera de ciencias de la comunicacion.,Negativo,Experiencia Académica
"creo que aun falta un 30% para llegar a un nivel de enseñanza optimo ,, tambien xq eh visto algunas indiferencias con respecto al trato de algunas personas que trabajan en la institutcion .",Negativo,Experiencia Académica
el nivel que tienen sus cursos,Negativo,Experiencia Académica
muy poca exigencia,Negativo,Experiencia Académica
seguir mejorando en los metodos de educacion.,Positivo,Experiencia Académica
"buenos docentes , infraestructura, horarios flexibles",Positivo,Experiencia Académica
"buena metodologia de aprendizaje, buenos docentes, y facilidad de oportunidades en el campo laboral",Positivo,Experiencia Académica
calidad de docentes ha disminuido  su nueva identidad visual es pésima,Negativo,Experiencia Académica
en infraestructura y poca accesibilidad de horarios.,Negativo,Experiencia Académica
"renovando la computadora de cada aula de estudios, por otra con una mayor performance.",Negativo,Experiencia Académica
"en la exigencia  académica, investigacion e implementacion y ceacion de laboratorios.",Negativo,Experiencia Académica
"la enseñanza y la metodologia que utilizan es muy buena, también ayuda al estudiante.",Positivo,Experiencia Académica
"1) que la enseñanza es de primera, que cuentan con profesores altamente preparados y con certificados internacionales  2) que te da la oportunidad de poder terminar tus estudios en otro pais",Positivo,Experiencia Académica
"servicios higienicos, fomentar cursos practicos segun carreras",Positivo,Experiencia Académica
en su infraestructura y en su nivel academico,Negativo,Experiencia Académica
"buena enseñanza, se preocupan en los alumnos, siempre con innovacion y llevándonos a conseguir nuestras metas.",Negativo,Experiencia Académica
"su enseñanza personalizada , calificada .",Positivo,Experiencia Académica
"los docentes, ya que en mi opinión, la mayoría de ellos ofrecen una buena calidad de enseñanza.",Positivo,Experiencia Académica
el nivel de exigencia académica de la mayoria de los cursos,Positivo,Experiencia Académica
su enseñanza y calidad  de docentes.,Positivo,Experiencia Académica
"puede mejorar en infraestructura. en mi caso, en la carrera de derecho necesitamos de mejores ambientes para desarrollar las actividades necesarias de la misma como por ejemplo : una sala de litigación oral además de sala de conferencias adecuada. esto debe de ser un imperativo más aún si se pretende acreditar esta carrera.",Negativo,Experiencia Académica
su excelencia académica.,Positivo,Experiencia Académica
en el programa de working adult debería tener mas nivel.,Negativo,Experiencia Académica
"entregar separatas de teorias y ejercicios o banco de preguntas para estudiar de ellas, tener un mayor numero de vacantes para practicas en empresas de convenio hacerlas efectivas a los alumnos que estén dispuestos.",Negativo,Experiencia Académica
"buena educacion, los profesores y la estructura de los cursos me parecen que son optimos.",Positivo,Experiencia Académica
"su enseñanza previlegiada y que no solo los maestros se preocupan por sus nivel intelectual , sino también por sus valores como futuros profesionales, preparándonos para ser hombres de éxito dispuestos a ser los mejores dentro del plano laboral upn es lo máximo..",Positivo,Experiencia Académica
"en la exigencia en sus cursos y en la infraestructura, además en los eventos que ofrecen a sus alumnos, creo que podrian realizar más eventos de participacion estudiantil, como debates, concursos o proyectos con la finalidad de desarrollar no solo conocimiento, si no también, dotes de liderazgo",Negativo,Experiencia Académica
la calidad de enseñanza que tiene sus profesores,Positivo,Experiencia Académica
"que nivelen a los alumnos de working adult, es decir todos tienen potencial pero el tiempo de cada uno es diferente , es decir unos trabajan  teniendo sus propios negocios o también trabajando en empresas pero otros no trabajan y tienen mas tiempo para estudiar, se que cada uno pone esfuerzo pero todos tenemos diferentes responsabilidades unos mas que otros pero me gustaria que hubiera mas talleres de acuerdo a la carrera, mas  trabajos sean grupales o individuales que deje el docente y tenga reconocimiento en sus notas para poder practicar mas, aunque los tiempos de estudio de cada uno sean unos mas grandes que otros, creo yo que nos esforzamos mas y como sea trasnochamos para dar el trabajo y nos ayuda a mejorar cada dia, por otra parte me gustaria que se recomiendo un paseo para cada fin de ciclo eso nos ayudaria a integrarnos mas en  diferentes facultades",Negativo,Experiencia Académica
en el prestigo,Negativo,Percepción General
examinar continuamente la forma de enseñanza de los docentes,Negativo,Experiencia Académica
"sus convenios, los docentes y la forma de trato a los alumnos.",Positivo,Experiencia Académica
"pues todo: los profesores, los cursos que llevas, etc",Positivo,Experiencia Académica
